time,price,spot_price,usage,cost,spike_status
2021-10-01 00:30,16.06053,5.88713,0.171,2.7464,none
2021-10-01 01:00,16.12273,5.9454,0.184,2.9666,none
2021-10-01 01:30,16.15609,5.97665,0.112,1.8095,none
2021-10-01 02:00,16.00296,5.8332,0.097,1.5523,none
2021-10-01 02:30,16.26157,6.07546,0.114,1.8538,none
2021-10-01 03:00,16.20401,6.02154,0.174,2.8195,none
2021-10-01 03:30,15.19308,5.07453,0.217,3.2969,none
2021-10-01 04:00,15.57455,5.43188,0.147,2.2895,none
2021-10-01 04:30,16.0944,5.91886,0.125,2.0118,none
2021-10-01 05:00,15.71794,5.5662,0.133,2.0905,none
2021-10-01 05:30,16.51114,6.30925,0.118,1.9483,none
2021-10-01 06:00,15.30512,5.17949,0.129,1.9744,none
2021-10-01 06:30,16.7274,6.51184,0.396,6.6241,none
2021-10-01 07:00,15.62433,5.47851,0.418,6.531,none
2021-10-01 07:30,15.62322,5.47747,0.222,3.4684,none
2021-10-01 08:00,20.50591,10.05143,0.481,9.8633,none
2021-10-01 08:30,32.61044,21.3906,0.197,6.4243,none
2021-10-01 09:00,14.82009,4.72512,0.229,3.3938,none
2021-10-01 09:30,16.9166,6.68907,0.554,9.3718,none
2021-10-01 10:00,11.23106,1.36303,0.701,7.873,none
2021-10-01 10:30,175.95483,155.6714,0.498,87.6255,none
2021-10-01 11:00,26.38272,15.55666,0.849,22.3989,none
2021-10-01 11:30,22.3197,11.75054,0.525,11.7178,none
2021-10-01 12:00,11.57769,1.68774,0.476,5.511,none
2021-10-01 12:30,-35.0079,-41.95227,0.219,-7.6667,none
2021-10-01 13:00,1.98021,-7.3029,0.233,0.4614,none
2021-10-01 13:30,2.51957,-6.79764,0.535,1.348,none
2021-10-01 14:00,2.43151,-6.88013,0.507,1.2328,none
2021-10-01 14:30,5.5462,-3.96238,0.507,2.8119,none
2021-10-01 15:00,8.00644,-1.6577,0.57,4.5637,none
2021-10-01 15:30,8.75131,-0.95993,0.336,2.9404,none
2021-10-01 16:00,9.10652,-0.62718,0.212,1.9306,none
2021-10-01 16:30,9.77603,0,0.172,1.6815,none
2021-10-01 17:00,16.86683,6.64245,0.236,3.9806,none
2021-10-01 17:30,17.82208,7.5373,0.199,3.5466,none
2021-10-01 18:00,25.10153,14.35647,0.345,8.66,none
2021-10-01 18:30,37.21087,25.70015,0.44,16.3728,none
2021-10-01 19:00,33.5115,22.23469,0.51,17.0909,none
2021-10-01 19:30,19.29402,8.91617,0.434,8.3736,none
2021-10-01 20:00,22.38928,11.81572,0.492,11.0155,none
2021-10-01 20:30,20.07838,9.65094,0.521,10.4608,none
2021-10-01 21:00,18.24024,7.92902,0.565,10.3057,none
2021-10-01 21:30,18.40174,8.08031,0.468,8.612,none
2021-10-01 22:00,17.99884,7.70288,0.426,7.6675,none
2021-10-01 22:30,19.7261,9.32093,0.19,3.748,none
2021-10-01 23:00,18.59547,8.26179,0.223,4.1468,none
2021-10-01 23:30,17.8043,7.52064,0.189,3.365,none
2021-10-02 00:00,18.48658,8.15978,0.133,2.4587,none
2021-10-02 00:30,18.44053,8.11665,0.139,2.5632,none
2021-10-02 01:00,18.40131,8.07991,0.173,3.1834,none
2021-10-02 01:30,17.96976,7.67564,0.128,2.3001,none
2021-10-02 02:00,18.01433,7.71739,0.173,3.1165,none
2021-10-02 02:30,18.00026,7.70421,0.168,3.024,none
2021-10-02 03:00,17.5375,7.27071,0.148,2.5955,none
2021-10-02 03:30,17.64429,7.37075,0.823,14.5212,none
2021-10-02 04:00,17.92637,7.635,0.138,2.4738,none
2021-10-02 04:30,18.14992,7.84441,0.139,2.5228,none
2021-10-02 05:00,17.80961,7.52562,0.168,2.992,none
2021-10-02 05:30,18.55688,8.22564,0.184,3.4145,none
2021-10-02 06:00,17.91092,7.62052,0.118,2.1135,none
2021-10-02 06:30,14.93497,4.83274,0.395,5.8993,none
2021-10-02 07:00,9.67896,-0.09093,0.238,2.3036,none
2021-10-02 07:30,5.02522,-4.45042,0.175,0.8794,none
2021-10-02 08:00,2.76832,-6.56462,0.387,1.0713,none
2021-10-02 08:30,1.16528,-8.0663,0.406,0.4731,none
2021-10-02 09:00,1.84615,-7.42848,0.347,0.6406,none
2021-10-02 09:30,4.49329,-4.94872,0.352,1.5816,none
