date,solar_exposure
2023-01-01,15.4
2023-01-02,6.2
2023-01-03,15.4
2023-01-04,14.6
2023-01-05,13.4
2023-01-06,7.3
2023-01-07,23.7
2023-01-08,25.2
2023-01-09,26.6
2023-01-10,27.4
2023-01-11,26.6
2023-01-12,25.8
2023-01-13,25.1
2023-01-14,24.0
2023-01-15,26.1
2023-01-16,15.8
2023-01-17,15.9
2023-01-18,22.8
2023-01-19,9.3
2023-01-20,14.2
2023-01-21,26.8
2023-01-22,28.0
2023-01-23,23.0
2023-01-24,13.8
2023-01-25,13.8
2023-01-26,18.3
2023-01-27,26.0
2023-01-28,19.3
2023-01-29,9.6
2023-01-30,24.0
2023-01-31,22.5
2023-02-01,25.6
2023-02-02,15.3
2023-02-03,22.8
2023-02-04,17.1
2023-02-05,24.7
2023-02-06,26.4
2023-02-07,27.5
2023-02-08,23.7
2023-02-09,14.1
2023-02-10,15.2
2023-02-11,17.3
2023-02-12,17.7
2023-02-13,17.1
2023-02-14,20.7
2023-02-15,26.8
2023-02-16,26.3
2023-02-17,27.0
2023-02-18,23.4
2023-02-19,23.8
2023-02-20,13.6
2023-02-21,16.9
2023-02-22,14.2
2023-02-23,11.3
2023-02-24,6.8
2023-02-25,7.5
2023-02-26,21.9
2023-02-27,9.8
2023-02-28,15.7
2023-03-01,21.9
2023-03-02,19.2
2023-03-03,12.2
2023-03-04,27.6
2023-03-05,25.6
2023-03-06,13.0
2023-03-07,25.0
2023-03-08,24.2
2023-03-09,17.4
2023-03-10,25.7
2023-03-11,27.3
2023-03-12,26.7
2023-03-13,26.4
2023-03-14,20.1
2023-03-15,24.2
2023-03-16,25.6
2023-03-17,24.8
2023-03-18,24.1
2023-03-19,24.9
2023-03-20,26.0
2023-03-21,20.2
2023-03-22,23.7
2023-03-23,25.5
2023-03-24,26.2
2023-03-25,26.0
2023-03-26,26.1
2023-03-27,24.3
2023-03-28,24.0
2023-03-29,25.9
2023-03-30,24.4
2023-03-31,25.7
2023-04-01,24.5
2023-04-02,25.4
2023-04-03,20.4
2023-04-04,24.6
2023-04-05,24.6
2023-04-06,12.7
2023-04-07,17.4
2023-04-08,20.3
2023-04-09,19.2
2023-04-10,19.0
2023-04-11,14.7
2023-04-12,18.5
2023-04-13,21.2
2023-04-14,18.1
2023-04-15,12.3
2023-04-16,15.8
2023-04-17,23.3
2023-04-18,24.0
2023-04-19,23.9
2023-04-20,22.9
2023-04-21,19.5
2023-04-22,23.0
2023-04-23,23.5
2023-04-24,23.4
2023-04-25,22.3
2023-04-26,23.0
2023-04-27,23.1
2023-04-28,21.9
2023-04-29,22.7
2023-04-30,21.0
2023-05-01,22.5
2023-05-02,22.6
2023-05-03,22.4
2023-05-04,22.4
2023-05-05,20.2
2023-05-06,18.5
2023-05-07,22.2
2023-05-08,22.1
2023-05-09,22.0
2023-05-10,21.8
2023-05-11,21.3
2023-05-12,21.7
2023-05-13,21.7
2023-05-14,21.1
2023-05-15,20.0
2023-05-16,21.5
2023-05-17,21.4
2023-05-18,21.3
2023-05-19,21.3
2023-05-20,20.6
2023-05-21,21.1
2023-05-22,21.1
2023-05-23,21.0
2023-05-24,20.9
2023-05-25,20.9
2023-05-26,18.7
2023-05-27,20.8
2023-05-28,20.7
2023-05-29,20.7
2023-05-30,20.7
2023-05-31,20.6
2023-06-01,20.5
2023-06-02,18.4
2023-06-03,18.9
2023-06-04,20.0
2023-06-05,19.1
2023-06-06,20.1
2023-06-07,19.8
2023-06-08,18.6
2023-06-09,18.0
2023-06-10,20.3
2023-06-11,20.2
2023-06-12,20.2
2023-06-13,20.2
2023-06-14,20.2
2023-06-15,20.2
2023-06-16,20.1
2023-06-17,20.1
2023-06-18,20.1
2023-06-19,19.5
2023-06-20,19.8
2023-06-21,19.5
2023-06-22,19.2
2023-06-23,19.4
2023-06-24,18.4
2023-06-25,19.0
2023-06-26,19.3
2023-06-27,18.8
2023-06-28,17.7
2023-06-29,20.0
2023-06-30,20.2
2023-07-01,19.8
2023-07-02,16.6
2023-07-03,18.2
2023-07-04,20.1
2023-07-05,19.5
2023-07-06,18.6
2023-07-07,20.3
2023-07-08,20.5
2023-07-09,20.5
2023-07-10,19.8
2023-07-11,20.4
2023-07-12,20.5
2023-07-13,20.6
2023-07-14,20.3
2023-07-15,20.3
2023-07-16,14.8
2023-07-17,19.1
2023-07-18,20.1
2023-07-19,20.9
2023-07-20,21.0
2023-07-21,19.8
2023-07-22,20.7
2023-07-23,21.1
2023-07-24,21.2
2023-07-25,21.2
2023-07-26,21.3
2023-07-27,18.8
2023-07-28,19.6
2023-07-29,20.8
2023-07-30,21.6
2023-07-31,21.7
2023-08-01,21.7
2023-08-02,21.8
2023-08-03,21.9
2023-08-04,16.2
2023-08-05,19.9
2023-08-06,21.8
2023-08-07,22.2
2023-08-08,22.2
2023-08-09,21.2
2023-08-10,22.3
2023-08-11,22.2
2023-08-12,22.1
2023-08-13,22.4
2023-08-14,22.4
2023-08-15,22.3
2023-08-16,22.7
2023-08-17,22.0
2023-08-18,22.1
2023-08-19,23.0
2023-08-20,23.1
2023-08-21,23.2
2023-08-22,23.1
2023-08-23,23.3
2023-08-24,23.4
2023-08-25,23.5
2023-08-26,23.6
2023-08-27,23.7
2023-08-28,23.7
2023-08-29,23.8
2023-08-30,23.8
2023-08-31,23.9
2023-09-01,24.1
2023-09-02,24.1
2023-09-03,23.0
2023-09-04,24.2
2023-09-05,24.2
2023-09-06,24.5
2023-09-07,24.6
2023-09-08,23.8
2023-09-09,24.2
2023-09-10,23.7
2023-09-11,24.2
2023-09-12,24.3
2023-09-13,24.9
2023-09-14,25.0
2023-09-15,24.9
2023-09-16,25.2
2023-09-17,25.3
2023-09-18,25.4
2023-09-19,25.0
2023-09-20,22.6
2023-09-21,24.7
2023-09-22,24.0
2023-09-23,23.2
2023-09-24,20.5
2023-09-25,21.3
2023-09-26,25.1
2023-09-27,25.5
2023-09-28,26.1
2023-09-29,25.9
2023-09-30,26.0
2023-10-01,22.9
2023-10-02,24.7
2023-10-03,24.5
2023-10-04,21.3
2023-10-05,19.2
2023-10-06,26.4
2023-10-07,26.1
2023-10-08,23.6
2023-10-09,24.1
2023-10-10,21.3
2023-10-11,22.7
2023-10-12,25.3
